"verb";"meanings"
"bracear";"<li>intr. Mover esforzada y repetidamente los brazos:<br><span class=""i"">el detenido braceó hasta que le soltaron.</span> </li><li> Nadar sacando los brazos fuera del agua y volteándolos hacia delante. </li><li> Doblar el caballo los brazos al andar con soltura:<br><span class=""i"">ningún caballo bracea mejor que los andaluces.</span><br></li>"
"bramar";"<li>intr. Dar bramidos. </li><li> Manifestar ira con gritos y con extraordinaria violencia:<br><span class=""i"">bramó desencajado que estaba despedido.</span> </li><li> Hacer ruido estrepitoso el viento,  el mar:<br><span class=""i"">la tempestad bramaba tras los cristales.</span><br></li>"
"brasear";"<li>tr. Asar alimentos en la brasa:<br><span class=""i"">los argentinos brasean muy bien la carne.</span><br></li>"
"bravear";""
"brear";"<li>tr. Maltratar,  molestar:<br><span class=""i"">le brearon a palos.</span><br></li>"
"bregar";"<li>intr. Trabajar afanosamente:<br><span class=""i"">bregando con los libros pudo aprobar.</span> </li><li> Pelear,  reñir:<br><span class=""i""> siempre está bregando con su hermano.</span><br> ♦ Se conj. como <span class=""b"">llegar</span>.<br></li>"
"brezar";""
"bribonear";""
"brillar";"<li>intr. Resplandecer,  despedir o reflejar luz:<br><span class=""i"">la Luna llena brillaba iluminando el jardín.</span> </li><li> Sobresalir por alguna cualidad:<br><span class=""i"">brilla por su talento.</span><br></li>"
"brincar";"<li>intr. Dar brincos o saltos.<br> ♦ Se conj. como <span class=""b"">sacar</span>.<br></li>"
"brindar";"<li>intr. Manifestar buenos deseos antes beber vino u otro licor en compañía:<br><span class=""i"">brindaron por sus bodas de oro.</span> </li><li> tr. Ofrecer voluntariamente alguna cosa a alguien:<br><span class=""i"">le brindó su amistad eterna.</span> </li><li> Ofrecer una oportunidad propicia:<br><span class=""i"">sus estudios le brindaron la posibilidad de salir al extranjero.</span> </li><li> prnl. Ofrecerse a hacer alguna cosa:<br><span class=""i"">se brindó a corregir el ensayo.</span><br></li>"
"briznar";""
"bromear";"<li>intr. Hacer,  decir o gastar bromas:<br><span class=""i"">bromea con sus propios errores.</span><br></li>"
"broncear";"<li>tr. Dar color de bronce. </li><li> prnl. Tomar color moreno la piel por la acción del sol o un agente artificial:<br><span class=""i"">te puedes broncear en un salón de rayos UVA.</span><br></li>"
"brotar";"<li>intr. Nacer la planta de la tierra. </li><li> Salir en la planta renuevos,  flores,  hojas,  etc.:<br><span class=""i"">los olmos han brotado de nuevo esta primavera.</span> </li><li> Manar el agua de los manantiales:<br><span class=""i"">el arroyo brotaba saltarín.</span> </li><li> Salir a la superficie una enfermedad:<br><span class=""i"">brotar el sarampión.</span> </li><li> Manifestarse algo de forma repentina:<br><span class=""i"">la duda brotó en su mente.</span><br></li>"
"brujear";""
"brujulear";"<li>intr. Buscar por todos los medios el logro de algo:<br><span class=""i"">no cesó de brujulear hasta conseguir el contrato.</span> </li><li> Vagar:<br><span class=""i"">se pasa el día brujuleando.</span><br></li>"
"bruñir";"<li>tr. Dar lustre a un metal,  piedra o cerámica:<br><span class=""i"">bruñó el mármol del grifo.</span> </li><li> <span class=""i"">amer.</span> Fastidiar,  importunar:<br><span class=""i"">siempre está bruñendo con sus historias.</span><br> ♦ <span class=""b"">Irreg.</span> Se conj. como <span class=""b"">mullir</span>.<br></li>"
"brutalizar";""
"bucear";"<li>intr. Nadar con el cuerpo bajo el agua:<br><span class=""i"">le encantaba bucear en los arrecifes.</span> </li><li> Trabajar de buzo. </li><li> Explorar o investigar algún tema:<br><span class=""i"">ahora está buceando en temas esotéricos.</span><br></li>"
"bufar";"<li>intr. Resoplar un animal irritado:<br><span class=""i"">su gato bufa cada vez que ve un perro.</span> </li><li> Manifestar abiertamente enfado o ira:<br><span class=""i"">ten cuidado,  hoy está que bufa.</span><br></li>"
"bufonear";""
"buitrear";"<li>intr. <span class=""i"">amer.</span> Vomitar. </li><li> tr. Gorronear:<br><span class=""i"">siempre le está buitreando el desayuno.</span><br></li>"
"bullir";"<li>intr. Hervir un líquido:<br><span class=""i"">la sopa bullía en la cazuela.</span> </li><li> Agitarse una masa de personas,  animales u objetos:<br><span class=""i"">las abejas bullían en cuanto me acercaba.</span> </li><li> Surgir con frecuencia y abundancia:<br><span class=""i"">le bullían las ideas.</span><br> ♦ <span class=""b"">Irreg.</span> Se conj. como <span class=""b"">mullir</span>.<br></li>"
"burbujear";"<li>intr. Hacer burbujas:<br><span class=""i"">la gaseosa burbujeaba en el vaso.</span><br></li>"
"burilar";""
"burlar";"<li>tr. Esquivar algún peligro:<br><span class=""i"">burló a la policía,  al toro.</span> </li><li> Engañar,  mentir:<br><span class=""i"">burlaba por igual a doncellas y casadas.</span> </li><li> prnl. Hacer burla de personas o cosas:<br><span class=""i"">no os burléis de su modo de andar.</span><br></li>"
"burocratizar";"<li>tr. Implantar una organización burocrática:<br><span class=""i"">intentaron burocratizar el reparto de los beneficios.</span><br> ♦ Se conj. como <span class=""b"">cazar</span>.<br></li>"
"buscar";"<li>tr. Intentar localizar o encontrar:<br><span class=""i"">está buscando trabajo.</span> </li><li> Intentar conseguir algo:<br><span class=""i"">buscaba no tener que madrugar;<br> buscó la anulación del proyecto.</span> </li><li> Provocar,  irritar:<br><span class=""i"">estás buscando a tu madre,  y va a responder.</span> </li><li> <span class=""b"">buscársela</span> loc. <span class=""i"">col. </span>Arriesgarse:<br><span class=""i"">te la estás buscando,  niñato.</span> </li><li> <span class=""b"">buscárselas</span> loc. <span class=""i"">col. </span>Arreglarse para ir viviendo:<br><span class=""i"">es muy trabajador y se las busca como puede.</span><br> ♦ Se conj. como <span class=""b"">sacar</span>.<br></li>"
"buzar";""
"buzonear";"<li>intr. Repartir propaganda por los buzones particulares:<br><span class=""i"">la empresa buzoneó el sur de Madrid.</span><br></li>"
"cabalgar";"<li>intr. Montar o pasear a caballo. También tr.:<br><span class=""i"">solo cabalga potros.</span> </li><li> Ir una cosa sobre otra:<br><span class=""i"">el Sol cabalgaba sobre el horizonte.</span> </li><li> tr. Cubrir el caballo u otro animal a su hembra:<br><span class=""i"">la yegua rechazó que la cabalgaran.</span><br> ♦ Se conj. como <span class=""b"">llegar</span>.<br></li>"
"caballar";"<li>adj. Del caballo o similar a él:<br><span class=""i"">cría caballar.</span><br></li>"
"caballerear";""
"cabecear";"<li>intr. Mover la cabeza:<br><span class=""i"">los caballos cabeceaban nerviosos.</span> </li><li> Negar moviendo la cabeza:<br><span class=""i"">cabeceó al verle tan desarrapado.</span> </li><li> Dar cabezadas el que se está durmiendo:<br><span class=""i"">cabeceaba todas las tardes frente a la tele.</span> </li><li> Moverse la embarcación bajando y subiendo la proa:<br><span class=""i"">la barca cabeceaba suavemente.</span> </li><li> Inclinarse lo que debía estar en equilibrio:<br><span class=""i"">la carga del burro cabeceó hasta caer.</span> </li><li> En fútbol,  golpear la pelota con la cabeza:<br><span class=""i"">cabeceó a portería.</span> </li><li> tr. Añadir vino añejo en el nuevo y,  p. ext.,  mezclar vinos:<br><span class=""i"">esas bodegas cabecean los tintos con una técnica propia.</span> </li><li> <span class=""i"">amer.</span> Atar cierto número de hojas de tabaco y formar las cabezas de los cigarros:<br><span class=""i"">las que cabecean el tabaco suelen ser mujeres.</span><br></li>"
"caber";"<li>intr. Poder un objeto ser contenido en otro:<br><span class=""i"">en esta estantería no cabe un libro más.</span> </li><li> Tener espacio para entrar:<br><span class=""i"">ese mueble no cabe por la escalera.</span> </li><li> Tocarle a uno o pertenecerle alguna cosa:<br><span class=""i"">me cabe el honor de recibirle.</span> </li><li> Ser posible:<br><span class=""i"">aún cabe que llegue mañana.</span> </li><li> <span class=""b"">no caber</span> uno <span class=""b"">en sí</span> loc. Estar exultante de alegría u orgullo:<br><span class=""i"">no cabe en sí de gozo.</span><br> ♦ <span class=""b"">Irreg.</span> Véase conj. modelo.<br></li>"
"cabestrar";""
"cabildear";""
"cablear";""
"cablegrafiar";"<li>tr. Transmitir noticias por cable submarino:<br><span class=""i"">cablegrafiaron varios mensajes de SOS.</span><br> ♦ Se conj. como <span class=""b"">vaciar</span>.<br></li>"
"cabrear";"<li>tr. y prnl. Enfadar,  molestar:<br><span class=""i"">se está cabreando con tanto ir y venir.</span> </li><li> tr. <span class=""i"">amer.</span> Esquivar a un perseguidor:<br><span class=""i"">cabreó al portero y marcó gol.</span> </li><li> intr. <span class=""i"">amer.</span> Jugar saltando y brincando:<br><span class=""i"">llegaron a la escuela cabreando.</span> </li><li> <span class=""i"">amer.</span> Tener una mujer diferentes amoríos:<br><span class=""i"">su marido sospechó que estaba cabreando.</span><br></li>"
"cabriolar";""
"cabriolear";""
"cabulear";"<li>intr. <span class=""i"">amer.</span> Intrigar,  usar ardides:<br><span class=""i"">no dejó de cabulear hasta conseguir el cargo.</span><br></li>"
"cacarear";"<li>intr. Cantar el gallo o la gallina. </li><li> tr. <span class=""i"">col. </span>Contar algo a mucha gente:<br><span class=""i"">no se lo cuentes porque todo lo cacarea.</span> </li><li> <span class=""i"">col. </span>Exagerar,  vanagloriarse:<br><span class=""i"">estuvo toda la tarde cacareando que ganaría.</span><br></li>"
"cachar";"<li>tr. <span class=""i"">amer.</span> <span class=""b"">cornear:</span> <span class=""i"">el toro le cachó.</span><br></li>"
"cacharrear";""
"cachear";"<li>tr. Registrar a alguien para descubrir si oculta algún objeto ilegal,  como droga o armas:<br><span class=""i"">se negó a que le cacheara un guarda jurado.</span><br></li>"
"cachetear";""
"cachiporrear";""
"cachondear";""
"caducar";"<li>intr. Desgastarse o estropearse algo por el paso del tiempo:<br><span class=""i"">esta mantequilla caducó ayer.</span> </li><li> Prescribir,  perder su validez una ley,  testamento,  etc.:<br><span class=""i"">su contrato caducó en diciembre.</span> </li><li> Extinguirse un derecho,  una facultad,  una instancia o un recurso.<br> ♦ Se conj. como <span class=""b"">sacar</span>.<br></li>"
"caer";"<li>intr. y prnl. Desplazarse un cuerpo de arriba abajo por la acción de su propio peso:<br><span class=""i"">cayó desde el octavo piso.</span> </li><li> Perder un cuerpo el equilibrio:<br><span class=""i"">se cayó al subir las escaleras.</span> </li><li> Pender,  colgar:<br><span class=""i"">el flequillo le cae sobre los ojos.</span> </li><li> Desprenderse una cosa del lugar u objeto a que estaba adherida:<br><span class=""i"">caer las hojas de los árboles;<br> caerse el pelo.</span> </li><li> intr. Sentar bien o mal:<br><span class=""i"">el café me ha caído fatal.</span> </li><li> Decaer,  extinguirse:<br><span class=""i"">está cayendo el Sol.</span> </li><li> Desaparecer,  dejar de ser:<br><span class=""i"">ya caerá ese ministro.</span> </li><li> Morir:<br><span class=""i"">cayeron varios marines.</span> </li><li> Perder la prosperidad,  fortuna,  empleo o valimiento:<br><span class=""i"">el escándalo le hizo caer.</span> </li><li> Llegar a comprender algo:<br><span class=""i"">ahora caigo en lo que me decías.</span> </li><li> Tocar o corresponder a alguien un empleo,  una carga o un golpe de suerte:<br><span class=""i"">me han caído veinte milloncetes.</span> </li><li> Estar situado en alguna parte o tiempo:<br><span class=""i"">la puerta cae a la derecha; San Juan cae en verano.</span> </li><li> <span class=""b"">caer en la cuenta</span> loc. Advertir o comprender algo que no se había pensado:<br><span class=""i"">ahora caigo en la cuenta de que se lo dejé.</span> </li><li> <span class=""b"">caer enfermo</span> loc. <span class=""b"">enfermar.</span> </li><li> <span class=""b"">caerse redondo</span> loc. Perder el conocimiento,  desmayarse:<br><span class=""i"">le dio un bajón de tensión y se cayó redondo.</span> </li><li> <span class=""b"">estar al caer</span> loc. Estar a punto de suceder:<br><span class=""i"">el verano está al caer.</span><br> ♦ <span class=""b"">Irreg.</span> Véase conj. modelo.<br></li>"
"cafetear";""
"cafichear";""
"cagar";"<li>intr. <span class=""i"">vulg.</span> Defecar,  expulsar excrementos:<br><span class=""i"">cagó en el campo.</span> </li><li> prnl. <span class=""i"">vulg.</span> Morirse de miedo,  acobardarse:<br><span class=""i"">con ese libro de terror te cagas.</span> </li><li> <span class=""b"">cagarla</span> loc. <span class=""i"">vulg.</span> Cometer un error irreparable:<br><span class=""i"">la has cagado con ese comentario.</span> </li><li> <span class=""b"">cagarse en</span> algo o <span class=""b"">en</span> alguien loc. <span class=""i"">vulg.</span> Maldecirlo:<br><span class=""i"">se cagó en su padre.</span><br> ♦ Se conj. como <span class=""b"">llegar</span>.<br></li>"
"cajear";""
"calabacear";""
"calafatear";"<li>tr. Impermeabilizar las junturas de las maderas de las naves cerrándolas con estopa y brea:<br><span class=""i"">calafatearon el bote antes de guardarlo.</span><br></li>"
"calar";"<li>tr. Penetrar un líquido en un cuerpo permeable. También intr.:<br><span class=""i"">el agua ha calado hasta el sótano.</span> </li><li> Atravesar un cuerpo con un objeto punzante:<br><span class=""i"">la broca caló hasta la otra pared.</span> </li><li> Hacer un corte en una fruta para ver su madurez:<br><span class=""i"">pidió que le calaran la sandía.</span> </li><li> <span class=""i"">amer.</span> Sacar con el calador una muestra de un fardo:<br><span class=""i"">calar un saco de café.</span> </li><li> Colocar la bayoneta en el fusil. </li><li> Bordar una tela con calados. </li><li> Agujerear tela,  papel,  etc.,  haciendo dibujos. </li><li> <span class=""i"">col.</span> Comprender o intuir los motivos internos de algo o alguien:<br><span class=""i"">no te hagas el inocente,  que ya te he calado.</span> </li><li> <span class=""i"">amer.</span> Apabullar,  confundir. </li><li> prnl. Encajarse bien un sombrero o gorro:<br><span class=""i"">se cala la boina hasta las cejas.</span> </li><li> Mojarse una persona hasta que el agua llegue al cuerpo:<br><span class=""i"">se ha calado hasta los huesos.</span> </li><li> Pararse bruscamente un motor:<br><span class=""i"">se le caló el coche en plena Gran Vía.</span><br></li>"
"calatear";""
"calcar";"<li>tr. Obtener una copia de un trazo o escritura por medio de un papel transparente o de calco:<br><span class=""i"">calcó los dibujos del bordado.</span> </li><li> Imitar o reproducir con exactitud:<br><span class=""i"">ha calcado los gestos de su tía.</span><br> ♦ Se conj. como <span class=""b"">sacar</span>.<br></li>"
"calcular";"<li>tr. Seguir operaciones matemáticas:<br><span class=""i"">calcúlese el área del rombo.</span> </li><li> Resolver las operaciones necesarias para un proyecto de arquitectura o ingeniería:<br><span class=""i"">tengo que calcular las estructuras del edificio.</span> </li><li> Evaluar,  considerar:<br><span class=""i"">calcula si te compensa o no.</span> </li><li> Suponer:<br><span class=""i"">calculo que lo habré acabado dentro de una hora.</span><br></li>"
"caldear";"<li>tr. y prnl. Aumentar la temperatura de algo que estaba frío:<br><span class=""i"">caldearon la habitación.</span> </li><li> Animar o acalorar el ánimo de una o varias personas:<br><span class=""i"">la primera pieza caldeó el auditorio.</span><br></li>"
"calefaccionar";""
"calendar";""
"calentar";"<li>tr. y prnl. Dar calor,  elevar la temperatura. También intr.:<br><span class=""i"">ahora empiezan a calentar los radiadores.</span> </li><li> Avivar,  animar:<br><span class=""i"">se está calentando la tertulia.</span> </li><li> <span class=""i"">col. </span>Golpear,  pegar:<br><span class=""i"">le calentaron la cara en el parque.</span> </li><li> tr. y prnl. Excitar sexualmente:<br><span class=""i"">la película erótica le calentó.</span> </li><li> intr. Realizar ejercicios preparatorios para el esfuerzo muscular:<br><span class=""i"">los jugadores calentaron antes del partido.</span> </li><li> prnl. Enfadarse,  enfervorizarse en una disputa:<br><span class=""i"">no me calientes más con tus tonterías.</span><br> ♦ <span class=""b"">Irreg.</span> Se conj. como <span class=""b"">acertar</span>.<br></li>"
"calibrar";"<li>tr. Medir el calibre de un objeto o de un arma:<br><span class=""i"">balística calibró la escopeta.</span> </li><li> Dar a un objeto el calibre que se desea. </li><li> Establecer con exactitud la correspondencia entre las indicaciones de un instrumento de medida y los valores de la magnitud que se mide con él. </li><li> Sopesar con detenimiento:<br><span class=""i"">hay que calibrar los riesgos de la empresa.</span><br></li>"
"calificar";"<li>tr. Apreciar,  expresar o determinar las cualidades o circunstancias de una persona o cosa:<br><span class=""i"">califican la novela de pretenciosa.</span> </li><li> Juzgar el grado de suficiencia de una persona en un examen o ejercicio:<br><span class=""i"">debes calificar todas las redacciones.</span> </li><li> Manifestar,  ilustrar,  acreditar:<br><span class=""i"">su actuación le calificó de cobarde.</span> </li><li> <span class=""ac"">ling.</span> Denotar un adjetivo la cualidad de un sustantivo:<br><span class=""i"">los epítetos preceden al nombre y lo califican.</span><br> ♦ Se conj. como <span class=""b"">sacar</span>.<br></li>"
"caligrafiar";"<li>tr. Escribir un texto con letra hermosa y cuidada:<br><span class=""i"">ha caligrafiado todas las notas de agradecimiento.</span><br> ♦ Se conj. como <span class=""b"">vaciar</span>.<br></li>"
"callar";"<li>intr. y prnl. No hablar,  guardar silencio:<br><span class=""i"">tú mejor cállate,  yo me ocuparé de convencerla.</span> </li><li> Cesar de hablar o de emitir otro tipo de sonido:<br><span class=""i"">calló la música.</span> </li><li> Abstenerse de manifestar lo que se siente o se sabe:<br><span class=""i"">no quiero ofenderte,  mejor me callo.</span> También tr.:<br><span class=""i"">no calles nada.</span><br></li>"
"callejear";"<li>intr. Andar deambulando de calle en calle:<br><span class=""i"">lo mejor para disfrutar de una ciudad es callejear sin rumbo fijo.</span><br></li>"
"calmar";"<li>tr. Sosegar,  adormecer,  aliviar,  templar. También prnl.:<br><span class=""i"">le dimos una tila y se calmó.</span><br></li>"
"calotear";""
"calumniar";"<li>tr. Atribuir a alguien falsamente y con malicia palabras,  actos o intenciones deshonrosos:<br><span class=""i"">la prensa amarilla se dedicó a calumniarle.</span><br> ♦ Se conj. como <span class=""b"">cambiar</span>.<br></li>"
"calzar";"<li>tr. Cubrir el pie,  y algunas veces la pierna,  con el calzado:<br><span class=""i"">calza el 36.</span> También prnl. </li><li> Poner cuñas o calces para inmovilizar un vehículo o para evitar que cojee un mueble:<br><span class=""i"">hay que calzar la mesa.</span> </li><li> <span class=""i"">amer.</span> Empastar un diente o una muela.<br> ♦ Se conj. como <span class=""b"">cazar</span>.<br></li>"
"camandulear";""
"camaronear";""
"cambalachear";""
"cambar";""
"cambiar";"<li>tr. Dar o recibir una cosa por otra que la sustituya:<br><span class=""i"">he cambiado la mesa por un sofá.</span> </li><li> Convertir en otra cosa,  modificar. También prnl.:<br><span class=""i"">la risa se cambió en llanto.</span> </li><li> Sustituir,  reemplazar:<br><span class=""i"">¿cada cuántos kilómetros cambias el aceite del coche?</span> </li><li> Dar o tomar monedas o valores por sus equivalentes:<br><span class=""i"">cambió los dólares en pesos.</span> </li><li> Intercambiar:<br><span class=""i"">cambiaron unas palabras de saludo.</span> </li><li> Devolver algo que se ha comprado:<br><span class=""i"">voy a cambiar este pantalón porque me está pequeño.</span> </li><li> intr. Mudar el viento su dirección:<br><span class=""i"">hoy no podemos navegar,  ha cambiado el viento.</span> </li><li> En los vehículos de motor,  pasar de una marcha o velocidad a otra:<br><span class=""i"">al cambiar a tercera rasca el embrague.</span> </li><li> Mudar o alterar una persona o cosa su condición o apariencia física o moral:<br><span class=""i"">ha cambiado mucho desde la separación.</span> También prnl.<br> ♦ Se construye con la prep. <span class=""i"">de:</span> <span class=""i"">cambió de idea; se cambió de casa.</span><br> ♦ Véase conj. modelo.<br></li>"
"camelar";"<li>tr. Engañar o seducir a alguien adulándolo:<br><span class=""i"">se está dejando camelar y termina cediendo.</span> </li><li> Enamorar.<br></li>"
"camellar";""
"caminar";"<li>intr. Ir andando de un lugar a otro:<br><span class=""i"">voy al trabajo caminando porque lo tengo a diez minutos.</span> </li><li> tr. Recorrer a pie determinada distancia:<br><span class=""i"">camina tres kilómetros diarios.</span><br></li>"
"camorrear";""
"camotear";""
"campanear";""
"campanillear";""
"campar";"<li>intr. Sobresalir. </li><li> <span class=""b"">campar</span> alguien <span class=""b"">por sus respetos</span> loc. Actuar con libertad e independencia:<br><span class=""i"">campa por sus respetos por toda la finca.</span><br></li>"
"campear";"<li>intr. Aparecer,  destacar,  sobresalir:<br><span class=""i"">la bandera campeaba en lo alto del ayuntamiento.</span><br></li>"
"campeonar";""
"camuflar";"<li>tr. En el ejército,  disimular la presencia de tropas o material bélico cubriéndolos con pintura,  ramas u hojas para darles una apariencia distinta de la real:<br><span class=""i"">camuflaron los carros de combate con vegetación.</span> </li><li> Esconder algo o a alguien. También prnl.:<br><span class=""i"">se camufló en el bosque.</span><br></li>"
"canalizar";"<li>tr. Regularizar el cauce o la corriente de un río para hacer sus aguas navegables o aptas para el riego:<br><span class=""i"">canalizaron parte del río para favorecer el tráfico comercial.</span> </li><li> Abrir canales para la conducción de gases o líquidos:<br><span class=""i"">ya han canalizado los terrenos de la nueva urbanización.</span> </li><li> Encauzar,  orientar opiniones o iniciativas:<br><span class=""i"">canalizaron todas las quejas al mismo departamento.</span><br> ♦ Se conj. como <span class=""b"">cazar</span>.<br></li>"
"cancanear";"<li>intr. <span class=""i"">amer.</span> Tartajear,  tartamudear. </li><li> <span class=""i"">amer.</span> Trepidar con un ruido especial el motor que empieza a fallar.<br></li>"
"cancelar";"<li>tr. Anular,  dejar sin validez,  especialmente documentos legales:<br><span class=""i"">le han cancelado el permiso de conducir.</span> </li><li> Suspender lo que se tenía previsto:<br><span class=""i"">han cancelado todos los vuelos.</span> </li><li> Saldar,  pagar una deuda:<br><span class=""i"">ya he cancelado la última letra del coche.</span><br></li>"
"canchar";"<li>tr. <span class=""i"">amer.</span> Tostar alguna cosa. </li><li> <span class=""i"">amer.</span> Hacer la primera molienda de las hojas de mate. </li><li> prnl. <span class=""i"">amer.</span> Ponerse la mejor prenda de vestir que se tiene:<br><span class=""i"">cánchate bien,  que vamos a un restaurante muy elegante.</span><br></li>"
"candar";"<li>tr. Cerrar con llave o candado:<br><span class=""i"">no te olvides de candar la puerta al salir.</span> </li><li> P. ext.,  cerrar de cualquier modo:<br><span class=""i"">candar una caja fuerte.</span><br></li>"
"candonguear";""
"canear";"<li>tr. <span class=""i"">col.</span> Dar una paliza:<br><span class=""i"">si no me marcho ahora mismo me van a canear en mi casa.</span><br></li>"
"cangallar";""
"canibalizar";""
"canjear";"<li>tr. Intercambiar algo o a alguien por otra cosa distinta:<br><span class=""i"">he canjeado el vale por un bolso.</span><br></li>"
"canonizar";"<li>tr. Declarar el Papa solemnemente santo a un venerable,  ya beatificado,  y autorizar su culto en la Iglesia católica:<br><span class=""i"">el Papa canonizará a varias beatas en una ceremonia solemne.</span><br> ♦ Se conj. como <span class=""b"">cazar</span>.<br></li>"
"cansar";"<li>tr. y prnl. Causar cansancio,  fatigar:<br><span class=""i"">subir las escaleras ya me cansa menos.</span> </li><li> Aburrir,  hartar:<br><span class=""i"">comer todos los días pollo acaba cansando.</span> </li><li> Enfadar,  molestar:<br><span class=""i"">ya me estoy cansando de tus gritos.</span><br></li>"
"cantaletear";""
"cantar";"<li>m. Composición poética con música a propósito para ser cantada,  o adaptable a los aires populares:<br><span class=""i"">el Nuevo Mester de Juglaría recupera viejos cantares.</span> </li><li> <span class=""b"">cantar de gesta</span> Poesía popular de la época medieval en que se referían,  en principio oralmente,  hechos de personajes históricos,  legendarios o tradicionales:<br><span class=""i"">el ""Poema de Mio Cid"" es un cantar de gesta</span>. </li><li> <span class=""b"">ser</span> algo <span class=""b""> otro cantar</span> loc. <span class=""i"">col. </span>Ser una cosa distinta:<br><span class=""i"">desde que compramos el coche,  los viajes son otro cantar.</span><br></li>"
"cantonear";""
"canturrear";"<li>intr. Cantar a media voz. También tr.:<br><span class=""i"">ha estado todo el día canturreando la misma canción.</span><br></li>"
"capacitar";"<li>tr. y prnl. Hacer apto,  habilitar:<br><span class=""i"">su experiencia debería capacitarle para tomar este tipo de decisiones.</span><br></li>"
"capar";"<li>tr. Extirpar o inutilizar los órganos genitales,  castrar:<br><span class=""i"">antiguamente se capaba a los hombres que iban a ejercer de eunucos en un harén.</span><br></li>"
"capear";"<li>tr. Hacer suertes con la capa al toro. </li><li> Entretener a uno con evasivas:<br><span class=""i"">capeó a la policía mientras sus compinches escapaban.</span> </li><li> Eludir hábilmente una dificultad,  compromiso o problema:<br><span class=""i"">capeó muy bien la situación después de la quiebra.</span> </li><li> Mantenerse el barco cuando el viento es fuerte. </li><li> <span class=""b"">capear el temporal</span> loc. <span class=""i"">col. </span>Resolver o pasar de la mejor manera posible una situación complicada:<br><span class=""i"">capeó el temporal como pudo con respuestas evasivas.</span><br></li>"
"capitalizar";"<li>tr. Fijar el capital que corresponde a determinado interés,  según un tipo dado. </li><li> Aumentar el capital con los intereses que ha producido. </li><li> Rentabilizar una situación en beneficio propio:<br><span class=""i"">los sindicatos capitalizaron el descontento social y convocaron la huelga.</span><br> ♦ Se conj. como <span class=""b"">cazar</span>.<br></li>"
"capitanear";"<li>tr. Acaudillar una tropa armada:<br><span class=""i"">capitanear un comando.</span> </li><li> Guiar o conducir a cualquier grupo de gente:<br><span class=""i"">capitanea a los trabajadores.</span><br></li>"
"capitular";"<li>adj. Relacionado con un cabildo o el capítulo de una orden:<br><span class=""i"">sala capitular.</span> </li><li> adj. y f. [Letra] mayúscula o [letra] inicial de un capítulo,  especialmente cuando resalta por su tamaño o por algún adorno:<br><span class=""i"">las bellísimas capitulares del códice miniado.</span><br></li>"
"capotar";""
"capotear";""
"capsular";"<li>adj. Relacionado con la cápsula o semejante a ella:<br><span class=""i"">fruto capsular.</span><br></li>"
"captar";"<li>tr. Percibir por medio de los sentidos:<br><span class=""i"">captar sensaciones.</span> </li><li> Recibir,  recoger sonidos o imágenes:<br><span class=""i"">hemos captado una interferencia.</span> </li><li> Percatarse de algo:<br><span class=""i"">no capto la intención del libro.</span> </li><li> Atraer a una persona,  ganar su voluntad o su afecto:<br><span class=""i"">no consiguió captar su interés.</span><br></li>"
"capturar";"<li>tr. Apresar,  aprehender,  apoderarse de alguien o de algo que opone resistencia:<br><span class=""i"">capturaron al evadido.</span><br></li>"
"caracolear";"<li>intr. Hacer giros en redondo el caballo:<br><span class=""i"">la yegua se puso nerviosa y comenzó a caracolear.</span><br></li>"
"caracterizar";"<li>tr. y prnl. Acreditar a algo o alguien sus rasgos propios:<br><span class=""i"">su diplomacia lo caracteriza.</span> </li><li> Determinar los rasgos distintivos de una persona o cosa,  de manera que se distinga claramente de las demás:<br><span class=""i"">han caracterizado un nuevo tipo de hongos.</span> </li><li> Maquillar o vestir al actor conforme al personaje que ha de representar:<br><span class=""i"">se caracterizó de anciano.</span><br> ♦ Se conj. como <span class=""b"">cazar</span>.<br></li>"
"carajear";""
"caramelear";"<li>tr. <span class=""i"">amer.</span> Entretener a una persona con evasivas o pretextos para dilatar la solución o tramitación de algún asunto. </li><li> <span class=""i"">amer.</span> Acaramelar,  engatusar,  halagar.<br></li>"
"caratular";""
"carbonear";""
"carbonizar";"<li>tr. y prnl. Reducir a carbón un cuerpo orgánico. </li><li> Calcinar,  quemar:<br><span class=""i"">se carbonizaron dentro del coche.</span><br> ♦ Se conj. como <span class=""b"">cazar</span>.<br></li>"
"carburar";"<li>tr. <span class=""ac"">quím.</span> Mezclar los gases o el aire atmosférico con los carburantes gaseosos o con los vapores de los carburantes líquidos,  para transformarlos en combustibles o detonantes. </li><li> intr. <span class=""i"">col. </span>Funcionar con normalidad:<br><span class=""i"">parece que hoy no te carbura el cerebro.</span><br></li>"
"carcajear";"<li>intr. y prnl. Reír a carcajadas. </li><li> prnl. Burlarse de algo o alguien:<br><span class=""i"">no te carcajees de su aspecto.</span><br></li>"
"carcomer";"<li>tr. Roer la carcoma la madera. </li><li> Corroer,  consumir poco a poco. También prnl.:<br><span class=""i"">el odio le carcome.</span> </li><li> prnl. Llenarse alguna cosa de carcoma:<br><span class=""i"">el mueble se ha carcomido.</span><br></li>"
"cardar";"<li>tr. Peinar una materia textil antes del hilado. </li><li> Peinar el pelo desde la punta a la raíz,  para que quede más hueco. También prnl.:<br><span class=""i"">en los años sesenta me cardaba el pelo y me quedaba un moño altísimo.</span><br></li>"
"carear";""
